"route","mod","aic","dAIC","z"
"124_04_241","fish",170.106737224616,0.708244274596268,NA
"124_04_251","tnegb",374.389317929506,1.02626479837789,0.0033618770095459
"124_04_251","plnorm",376.595571614814,3.23251848368562,NA
"124_04_251","fish",373.363053131128,0,NA
"124_04_302","tnegb",367.897808042202,2.00328557899331,0.0320626616011623
"124_04_302","plnorm",366.740915716594,0.846393253384406,NA
"124_04_302","fish",365.894522463209,0,NA
"124_04_304","tnegb",246.947078100744,1.10859096283068,0.000688537084304901
"124_04_304","plnorm",249.061185320162,3.22269818224802,NA
"124_04_304","fish",245.838487137914,0,NA
"124_04_306","tnegb",319.842266525388,0.699840344481686,0.00111598754932124
"124_04_306","plnorm",319.142426180906,0,NA
"124_04_306","fish",320.872371214124,1.72994503321814,NA
"124_04_309","tnegb",489.4492294971,0,8.26435757591857e-05
"124_04_309","plnorm",491.117856720802,1.66862722370155,NA
"124_04_309","fish",497.517603669878,8.06837417277802,NA
"124_04_311","tnegb",308.719627207814,4.18009715569099,0.500320636989793
"124_04_311","plnorm",304.539530052123,0,NA
"124_04_311","fish",306.713854243028,2.17432419090494,NA
"124_04_315","tnegb",247.688049330993,0.342041969815568,4.04700974667396e-05
"124_04_315","plnorm",249.702762454215,2.35675509303712,NA
"124_04_315","fish",247.346007361178,0,NA
"124_04_322","tnegb",339.273646439409,1.05901499562219,0.00371834482734743
"124_04_322","plnorm",344.527076959499,6.31244551571149,NA
"124_04_322","fish",338.214631443787,0,NA
"124_04_329","tnegb",321.650733177136,1.94970723328811,0.000958128513291358
"124_04_329","plnorm",323.306550770389,3.60552482654174,NA
"124_04_329","fish",319.701025943847,0,NA
"124_04_330","tnegb",505.01514132493,1.91776868320238,0.00349387692584697
"124_04_330","plnorm",505.449993900996,2.35262125926863,NA
"124_04_330","fish",503.097372641728,0,NA
"124_04_338","tnegb",501.305035086287,0,5.82792738112938e-05
"124_04_338","plnorm",507.515377500727,6.21034241443999,NA
"124_04_338","fish",502.057083867641,0.752048781354119,NA
"124_04_404","tnegb",313.489460772536,1.53589399296482,0.00524985648327035
"124_04_404","plnorm",318.66368125655,6.71011447697947,NA
"124_04_404","fish",311.953566779571,0,NA
"124_04_412","tnegb",205.149117221803,2.00216534648428,0.00643483111267521
"124_04_412","plnorm",207.811453762474,4.66450188715527,NA
"124_04_412","fish",203.146951875319,0,NA
"124_04_421","tnegb",262.679311073796,1.54557281879443,0.00207291122415005
"124_04_421","plnorm",266.355347036132,5.22160878113039,NA
"124_04_421","fish",261.133738255002,0,NA
"124_04_438","tnegb",259.419282092158,1.72686015716636,0.000144534825880175
"124_04_438","plnorm",261.881649934665,4.18922799967351,NA
"124_04_438","fish",257.692421934991,0,NA
"124_11_001","tnegb",297.46160820703,1.39270796823058,0.000318962027895699
"124_11_001","plnorm",300.260516818184,4.19161657938469,NA
"124_11_001","fish",296.0689002388,0,NA
"124_11_003","tnegb",248.653906118209,2.01135084004889,0.217535119332784
"124_11_003","plnorm",250.021991849636,3.37943657147565,NA
"124_11_003","fish",246.64255527816,0,NA
"124_11_005","tnegb",221.840988854241,1.92125831786228,0.000170086400152961
"124_11_005","plnorm",225.49449011801,5.57475958163096,NA
"124_11_005","fish",219.919730536379,0,NA
"124_11_006","tnegb",415.064033397003,0,0.000342135084166652
"124_11_006","plnorm",418.633694721537,3.56966132453323,NA
"124_11_006","fish",421.491285721439,6.42725232443604,NA
"124_11_007","tnegb",343.043414275936,1.95610188261719,2.18798201326339e-07
"124_11_007","plnorm",347.895166114264,6.80785372094493,NA
"124_11_007","fish",341.087312393319,0,NA
"124_11_009","tnegb",234.463891462433,2.00093663528975,0.00138484789174976
"124_11_009","plnorm",234.82462085323,2.36166602608682,NA
"124_11_009","fish",232.462954827143,0,NA
"124_11_010","tnegb",300.613561706431,2.2037802926576,0.107819777932655
"124_11_010","plnorm",298.409781413773,0,NA
"124_11_010","fish",298.605248219965,0.195466806191803,NA
"124_11_020","tnegb",318.072316381921,6.07540736504916,0.0136206428728517
"124_11_020","plnorm",311.996909016872,0,NA
"124_11_020","fish",316.751626244546,4.75471722767452,NA
"124_11_022","tnegb",390.33483649821,0,0.00281421512657927
"124_11_022","plnorm",391.530917632964,1.19608113475402,NA
"124_11_022","fish",391.230407879626,0.895571381415266,NA
"124_11_029","tnegb",396.029285384173,1.38843130675133,0.000551745757113159
"124_11_029","plnorm",394.640854077422,0,NA
"124_11_029","fish",398.390759970494,3.74990589307231,NA
"124_11_032","tnegb",280.456971369529,0,0.000255832391652451
"124_11_032","plnorm",281.195162761773,0.738191392243834,NA
"124_11_032","fish",283.612072526554,3.15510115702483,NA
"124_11_033","tnegb",261.934560815804,2.00928134118328,0.0104249627615765
"124_11_033","plnorm",264.842089137901,4.9168096632805,NA
"124_11_033","fish",259.925279474621,0,NA
"124_11_034","tnegb",357.470208318406,0.823413103352664,0.00111655391508715
"124_11_034","plnorm",360.034811470018,3.38801625496427,NA
"124_11_034","fish",356.646795215054,0,NA
"124_11_045","tnegb",415.250088552295,1.30518374789494,0.00176001127991332
"124_11_045","plnorm",414.182797319006,0.237892514606074,NA
"124_11_045","fish",413.9449048044,0,NA
"124_11_053","tnegb",302.289415370044,0.0526713463993929,0.000293125663202083
"124_11_053","plnorm",304.722266130437,2.48552210679213,NA
"124_11_053","fish",302.236744023644,0,NA
"124_11_057","tnegb",380.639493125266,0,0.000246615173647824
"124_11_057","plnorm",387.410477525123,6.77098439985696,NA
